wkt_geom,geocod,mun,uf,fev_25,fev_26,fev_27,fev_28,fev_29,mar_01,mar_02,mar_03,mar_04,mar_05,mar_06,mar_07,mar_08,mar_09,mar_10,mar_11,mar_12,mar_13,mar_14,mar_15,mar_16,mar_17,mar_18,mar_19,mar_20,mar_21,mar_22,mar_23,mar_24,mar_25,mar_26,mar_27,mar_28,mar_29,mar_30,mar_31
Point (-59.88566600000000051 -7.19786999999999999),1300144,APUÍ,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-70.18798900000000174 -4.36615700000000029),1300201,ATALAIA DO NORTE,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-59.13356699999999933 -3.57866399999999985),1300300,AUTAZES,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-62.92566999999999666 -0.97280100000000003),1300409,BARCELOS,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-57.06774999999999665 -2.79815000000000014),1300508,BARREIRINHA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-70.02734800000000348 -4.37498900000000024),1300607,BENJAMIN CONSTANT,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-61.37157100000000298 -3.89451299999999989),1300631,BERURI,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-57.58770700000000176 -2.97172700000000001),1300680,BOA VISTA DO RAMOS,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-67.39957800000000532 -8.75124300000000055),1300706,BOCA DO ACRE,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Point (-59.59455899999999673 -4.39062000000000019),1300805,BORBA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-61.2113340000000008 -3.33009300000000019),1300839,CAAPIRANGA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-64.39423100000000488 -6.52910599999999963),1300904,CANUTAMA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-66.8966350000000034 -4.88166600000000006),1301001,CARAUARI,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-60.36381000000000085 -3.82244699999999993),1301100,CAREIRO,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
